 cell_number  status_t2p status_s2p
           0           1      3 / 3
           1           1      3 / 3
           2           1      3 / 3
           3           1      3 / 3
           4           1      3 / 3
           5           1      3 / 3
           6           1      2 / 3
           7           1      1 / 3
           8           1      3 / 3
           9           1      1 / 3
          10           1      3 / 3
          11           1      3 / 3
          12           1      3 / 3
          13           1      3 / 3
          14           1      3 / 3
          15           1      3 / 3
          16           1      3 / 3
          17           1      3 / 3
          18           1      2 / 3
          19           1      2 / 3
          20           1      3 / 3
          21           1      3 / 3
          22           1      3 / 3
          23           1      2 / 3
          24           1      3 / 3
          25           1      2 / 3
          26           1      3 / 3
          27           1      3 / 3
          28           1      3 / 3
          29           1      1 / 3
          30           1      3 / 3
          31           1      3 / 3
          32           1      3 / 3
          33           1      2 / 3
          34           1      3 / 3
          35           1      1 / 3
          36           1      3 / 3
          37           1      3 / 3
          38           1      3 / 3
          39           1      3 / 3
          40           1      3 / 3
          41           1      2 / 3
          42           1      3 / 3
          43           1      3 / 3
          44           1      3 / 3
          45           1      3 / 3
          46           1      3 / 3
          47           1      3 / 3
          48           1      2 / 3
          49           1      3 / 3
          50           1      3 / 3
          51           1      3 / 3
          52           1      3 / 3
          53           1      3 / 3
          54           1      3 / 3
          55           1      3 / 3
          56           1      3 / 3
          57           1      3 / 3
          58           1      3 / 3
          59           1      3 / 3
          60           1      3 / 3
          61           1      3 / 3
          62           1      3 / 3
          63           1      3 / 3
          64           1      3 / 3
          65           1      3 / 3
          66           1      3 / 3
          67           1      3 / 3
          68           1      3 / 3
          69           1      3 / 3
          70           1      3 / 3
          71           1      3 / 3
          72           1      3 / 3
          73           1      3 / 3
          74           1      3 / 3
          75           1      3 / 3
          76           1      3 / 3
          77           1      2 / 3
          78           1      3 / 3
          79           1      3 / 3
          80           1      3 / 3
          81           1      3 / 3
          82           1      3 / 3
          83           1      3 / 3
          84           1      3 / 3
          85           1      3 / 3
          86           1      2 / 3
          87           1      3 / 3
          88           1      2 / 3
          89           1      3 / 3
          90           1      3 / 3
          91           1      3 / 3
          92           1      3 / 3
          93           1      3 / 3
          94           1      3 / 3
          95           1      3 / 3
          96           1      3 / 3
          97           1      3 / 3
          98           1      3 / 3
          99           1      3 / 3
         100           1      3 / 3
         101           1      3 / 3
         102           1      3 / 3
         103           1      3 / 3
         104           1      3 / 3
         105           1      3 / 3
         106           1      3 / 3
         107           1      1 / 3
         108           1      2 / 3
         109           1      1 / 3
         110           1      3 / 3
         111           1      3 / 3
         112           1      2 / 3
         113           1      3 / 3
         114           1      3 / 3
         115           1      3 / 3
         116           1      2 / 3
         117           1      3 / 3
         118           1      3 / 3
         119           1      3 / 3
         120           1      3 / 3
         121           1      2 / 3
         122           1      3 / 3
         123           1      3 / 3
         124           1      3 / 3
         125           1      3 / 3
         126           1      3 / 3
         127           1      3 / 3
         128           1      3 / 3
         129           1      3 / 3
         130           1      1 / 3
         131           1      3 / 3
         132           1      3 / 3
         133           1      2 / 3
         134           1      3 / 3
         135           1      3 / 3
         136           1      3 / 3
         137           1      3 / 3
         138           1      3 / 3
         139           1      3 / 3
         140           1      3 / 3
         141           1      2 / 3
         142           1      3 / 3
         143           1      3 / 3
         144           1      2 / 3
         145           1      2 / 3
         146           1      3 / 3
         147           1      3 / 3
         148           1      3 / 3
         149           1      3 / 3
         150           1      3 / 3
         151           1      3 / 3
         152           1      3 / 3
         153           1      3 / 3
         154           1      3 / 3
         155           1      3 / 3
         156           1      2 / 3
         157           1      3 / 3
         158           1      2 / 3
         159           1      3 / 3
         160           1      3 / 3
         161           1      3 / 3
         162           1      3 / 3
         163           1      2 / 3
         164           1      2 / 3
         165           1      3 / 3
         166           1      3 / 3
         167           1      3 / 3
         168           1      3 / 3
         169           1      3 / 3
         170           1      3 / 3
         171           1      3 / 3
         172           1      3 / 3
         173           1      3 / 3
         174           1      3 / 3
         175           1      3 / 3
         176           1      2 / 3
         177           1      3 / 3
         178           1      3 / 3
         179           1      3 / 3
         180           1      3 / 3
         181           1      3 / 3
         182           1      3 / 3
         183           1      3 / 3
         184           1      3 / 3
         185           1      3 / 3
         186           1      3 / 3
         187           1      3 / 3
         188           1      2 / 3
         189           1      3 / 3
         190           1      3 / 3
         191           1      3 / 3
         192           1      3 / 3
         193           1      3 / 3
         194           1      3 / 3
         195           1      3 / 3
         196           1      3 / 3
         197           1      3 / 3
         198           1      2 / 3
         199           1      3 / 3
         200           1      3 / 3
         201           1      3 / 3
         202           1      3 / 3
         203           1      3 / 3
         204           1      2 / 3
         205           1      3 / 3
         206           1      3 / 3
         207           1      3 / 3
         208           1      3 / 3
         209           1      1 / 3
         210           1      2 / 3
         211           1      3 / 3
         212           1      3 / 3
         213           1      3 / 3
         214           1      2 / 3
         215           1      3 / 3
         216           1      3 / 3
         217           1      1 / 3
         218           1      3 / 3
         219           1      3 / 3
         220           1      2 / 3
         221           1      3 / 3
         222           1      3 / 3
         223           1      3 / 3
         224           1      3 / 3
         225           1      2 / 3
         226           1      3 / 3
         227           1      2 / 3
         228           1      3 / 3
         229           1      3 / 3
         230           1      3 / 3
         231           1      2 / 3
         232           1      3 / 3
         233           1      3 / 3
         234           1      3 / 3
         235           1      3 / 3
         236           1      3 / 3
         237           1      3 / 3
         238           1      3 / 3
         239           1      3 / 3
         240           1      3 / 3
         241           1      3 / 3
         242           1      3 / 3
         243           1      3 / 3
         244           1      3 / 3
         245           1      2 / 3
         246           1      3 / 3
         247           1      3 / 3
         248           1      2 / 3
         249           1      2 / 3
         250           1      3 / 3
         251           1      2 / 3
         252           1      3 / 3
         253           1      3 / 3
         254           1      2 / 3
         255           1      2 / 3
         256           1      3 / 3
         257           1      2 / 3
         258           1      2 / 3
         259           1      3 / 3
         260           1      3 / 3
         261           1      2 / 3
         262           1      3 / 3
         263           1      3 / 3
         264           1      1 / 3
         265           1      3 / 3
         266           1      2 / 3
         267           1      3 / 3
         268           1      3 / 3
         269           1      3 / 3
         270           1      3 / 3
         271           1      3 / 3
         272           1      3 / 3
         273           1      3 / 3
         274           1      3 / 3
         275           1      3 / 3
         276           1      0 / 3
         277           1      3 / 3
         278           1      3 / 3
         279           1      3 / 3
         280           1      3 / 3
         281           1      3 / 3
         282           1      3 / 3
         283           1      2 / 3
         284           1      3 / 3
         285           1      3 / 3
         286           1      3 / 3
         287           1      2 / 3
         288           1      3 / 3
         289           1      3 / 3
         290           1      3 / 3
         291           1      3 / 3
         292           1      2 / 3
         293           1      3 / 3
         294           1      3 / 3
         295           1      3 / 3
         296           1      3 / 3
         297           1      3 / 3
         298           1      2 / 3
         299           1      3 / 3
         300           1      3 / 3
         301           1      3 / 3
         302           1      3 / 3
         303           1      3 / 3
         304           1      2 / 3
         305           1      3 / 3
         306           1      2 / 3
         307           1      3 / 3
         308           1      3 / 3
         309           1      3 / 3
         310           1      3 / 3
         311           1      2 / 3
         312           1      3 / 3
         313           1      3 / 3
         314           1      3 / 3
         315           1      2 / 3
         316           1      2 / 3
         317           1      3 / 3
         318           1      1 / 3
         319           1      3 / 3
         320           1      3 / 3
         321           1      3 / 3
         322           1      3 / 3
         323           1      3 / 3
         324           1      3 / 3
         325           1      3 / 3
         326           1      0 / 3
         327           1      1 / 3
         328           1      3 / 3
         329           1      3 / 3
         330           1      2 / 3
         331           1      3 / 3
         332           1      3 / 3
         333           1      3 / 3
         334           1      3 / 3
         335           1      3 / 3
         336           1      3 / 3
         337           1      3 / 3
         338           1      3 / 3
         339           1      3 / 3
         340           1      2 / 3
         341           1      3 / 3
         342           1      2 / 3
         343           1      3 / 3
         344           1      3 / 3
         345           1      3 / 3
         346           1      3 / 3
         347           1      3 / 3
         348           1      2 / 3
         349           1      3 / 3
         350           1      3 / 3
         351           1      3 / 3
         352           1      3 / 3
         353           1      3 / 3
         354           1      3 / 3
         355           1      3 / 3
         356           1      3 / 3
         357           1      3 / 3
         358           1      3 / 3
         359           1      3 / 3
         360           1      3 / 3
         361           1      3 / 3
         362           1      3 / 3
         363           1      3 / 3
         364           1      3 / 3
         365           1      3 / 3
         366           1      3 / 3
         367           1      2 / 3
         368           1      2 / 3
         369           1      3 / 3
         370           1      2 / 3
         371           1      2 / 3
         372           1      1 / 3
         373           1      3 / 3
         374           1      3 / 3
         375           1      3 / 3
         376           1      2 / 3
         377           1      2 / 3
         378           1      3 / 3
         379           1      3 / 3
         380           1      2 / 3
         381           1      3 / 3
         382           1      3 / 3
         383           1      1 / 3
         384           1      3 / 3
         385           1      3 / 3
         386           1      3 / 3
         387           1      2 / 3
         388           1      3 / 3
         389           1      3 / 3
         390           1      3 / 3
         391           1      1 / 3
         392           1      2 / 3
         393           1      3 / 3
         394           1      2 / 3
         395           1      3 / 3
         396           1      3 / 3
         397           1      3 / 3
         398           1      3 / 3
         399           1      1 / 3
         400           1      3 / 3
         401           1      3 / 3
         402           1      1 / 3
         403           1      3 / 3
         404           1      3 / 3
         405           1      3 / 3
         406           1      2 / 3
         407           1      2 / 3
         408           1      3 / 3
         409           1      2 / 3
         410           1      1 / 3
         411           1      1 / 3
         412           1      3 / 3
         413           1      3 / 3
         414           1      3 / 3
         415           1      3 / 3
         416           1      3 / 3
         417           1      3 / 3
         418           1      3 / 3
         419           1      3 / 3
         420           1      2 / 3
         421           1      3 / 3
         422           1      1 / 3
         423           1      3 / 3
         424           1      2 / 3
         425           1      3 / 3
         426           1      3 / 3
         427           1      3 / 3
         428           1      1 / 3
         429           1      3 / 3
         430           1      3 / 3
         431           1      3 / 3
         432           1      2 / 3
         433           1      3 / 3
         434           1      3 / 3
         435           1      3 / 3
